n,clip,cond,kind,seed,score,prompt,penisRest,penisFirst,penisMotion,hand,buttocks,between,penisBack,join,likeness,notes,file,ratedAt
22,C2v1-P2-1351805226,C2v1,solo,1351805226,4,yes,,right,minor,right,,,,,yes,,nsfw-C2v1-P2-1351805226_00001_.mp4,2026-09-22T11:08:06Z
23,C2v1-P2-20260919,C2v1,solo,20260919,3,yes,,right,minor,minor,,,,,yes,,nsfw-C2v1-P2-20260919_00001_.mp4,2026-09-22T11:08:06Z
24,C2v1-P2-424242,C2v1,solo,424242,2,yes,,minor,minor,minor,,,,,yes,,nsfw-C2v1-P2-424242_00001_.mp4,2026-09-22T11:08:06Z
25,C2v1-P2-8675309,C2v1,solo,8675309,2,yes,,wrong,wrong,wrong,,,,,yes,,nsfw-C2v1-P2-8675309_00001_.mp4,2026-09-22T11:08:06Z
26,C2v1-P3-31337,C2v1,buttocks,31337,4,yes,,,,,right,right,right,,yes,,nsfw-C2v1-P3-31337_00001_.mp4,2026-09-22T11:08:06Z
27,C2v1-P3-424242,C2v1,buttocks,424242,3,yes,,,,,right,minor,right,,yes,,nsfw-C2v1-P3-424242_00001_.mp4,2026-09-22T11:08:06Z
28,C2v1-P3-8675309,C2v1,buttocks,8675309,2,yes,,,,,right,right,right,,yes,One his legs went transparent briefly when he turned around to show his buttocks,nsfw-C2v1-P3-8675309_00001_.mp4,2026-09-22T11:08:06Z
29,C3-P1-1351805226,C3,at rest,1351805226,4,partly,right,,,,,,,,yes,The dick move up and down as if we was controlling the erection intentionally.. not sure if that was the kind of dick movement you were looking for as apart of this prompt,nsfw-C3-P1-1351805226_00001_.mp4,2026-09-22T11:08:06Z
30,C3-P1-20260919,C3,at rest,20260919,4,yes,right,,,,,,,,yes,,nsfw-C3-P1-20260919_00001_.mp4,2026-09-22T11:08:06Z
31,C3-P2-1351805226,C3,solo,1351805226,1,yes,,minor,wrong,wrong,,,,,yes,,nsfw-C3-P2-1351805226_00001_.mp4,2026-09-22T11:08:06Z
32,C3-P2-20260919,C3,solo,20260919,2,yes,,right,minor,wrong,,,,,yes,,nsfw-C3-P2-20260919_00001_.mp4,2026-09-22T11:08:06Z
33,C3-P2-424242,C3,solo,424242,2,yes,,minor,wrong,wrong,,,,,yes,,nsfw-C3-P2-424242_00001_.mp4,2026-09-22T11:08:06Z
34,C3-P2-8675309,C3,solo,8675309,1,yes,,minor,wrong,wrong,,,,,yes,,nsfw-C3-P2-8675309_00001_.mp4,2026-09-22T11:08:06Z
